,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
500,Mount Gambier,AU,75.11,overcast clouds,-37.8333,140.7667,The Commodore
502,Wonthaggi,AU,78.06,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
506,Tomatlan,MX,76.19,scattered clouds,19.9333,-105.25,El Salvial
512,Sinnamary,GF,78.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
517,Lorengau,PG,85.95,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
533,Tamiahua,MX,79.61,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
538,Kerrville,US,77.13,broken clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
539,Porbandar,IN,77.7,clear sky,21.6422,69.6093,Lords Inn Porbandar
541,Male,MV,81.61,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
546,Bom Jesus,BR,81.75,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
549,Puerto Escondido,MX,81.37,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
552,Nabire,ID,85.57,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
555,Kalianget,ID,84.61,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
556,Houston,US,80.31,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
557,Lakatoro,VU,83.53,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
559,Caloundra,AU,85.35,scattered clouds,-26.8,153.1333,Watermark Resort Caloundra
563,Kailua,US,85.98,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
564,Parelhas,BR,75.78,clear sky,-6.6878,-36.6575,Municipal Hotel Parelhas RN
566,Vaitape,PF,79.72,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
571,Atambua,ID,86.18,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
575,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
578,Houma,US,75.97,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
579,Itarema,BR,80.06,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
583,Corn Island,NI,83.89,scattered clouds,12.1694,-83.0418,Big Fish Guest House
597,Mercedes,AR,80.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
609,Makaha,US,85.91,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
610,Hobyo,SO,80.17,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
614,San Francisco Del Mar,MX,82.96,overcast clouds,16.2333,-94.65,
617,Ouargaye,BF,81.93,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
618,Kapoeta,SS,75.06,broken clouds,4.7717,33.5903,Eastgate Hotel
619,Sulangan,PH,82.29,moderate rain,11.1373,123.7228,Maia's Beach Resort
621,Arlit,NE,83.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
625,Malindi,KE,77.68,light rain,-3.2175,40.1191,African House Resort
628,Kyle,US,79.45,few clouds,29.9984,-97.8715,La Quinta Inn & Suites by Wyndham Kyle - Austin South
631,General Roca,AR,77.63,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
633,Koungou,YT,78.51,light rain,-12.7336,45.2042,Villa Netibor
636,Luwuk,ID,86.86,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
645,Gondanglegi,ID,85.98,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
647,Puerto Lempira,HN,78.1,few clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
648,Lafayette,US,77.02,scattered clouds,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
657,Mayumba,GA,76.32,light rain,-3.432,10.6554,LIKWALE LODGE
658,Wagar,SD,85.24,broken clouds,16.1525,36.2032,
676,Vung Tau,VN,77.65,overcast clouds,10.346,107.0843,Green hotel
677,Mitsamiouli,KM,77.86,scattered clouds,-11.3847,43.2844,Foyer ADM
687,Emerald,AU,84.34,clear sky,-23.5333,148.1667,The Irish Village
688,Davila,PH,85.98,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
689,Bom Jesus Da Lapa,BR,77.97,clear sky,-13.255,-43.4181,Hotel das Nações
694,Muscat,OM,78.82,clear sky,23.6139,58.5922,Mutrah Hotel
695,Sorong,ID,82.85,overcast clouds,-0.8833,131.25,waigo splash hotel
696,Trat,TH,82.98,scattered clouds,12.5,102.5,สวนหนิง-อัศ
698,Bairnsdale,AU,75.47,clear sky,-37.8333,147.6167,Town Central Motel
